parameter,term,estimate,std.error,statistic,p.value
Omega,(Intercept),1.1603274745965426,0.015470104314017224,75.0045022996508,4.871612314221305e-191
Omega,Temperature,0.09546839685548461,0.009243529138670816,10.328132840095378,1.765070005017264e-21
Omega,Oxygen,0.004447038105597304,3.4889202982884686e-4,12.74617281391854,8.242128686717283e-30
Omega,Temperature:Oxygen,3.469030836835852e-4,7.678495022157482e-5,4.517852556816705,9.126012570752436e-6
pH,(Intercept),7.792777088893721,0.004242892782729333,1836.666040823414,0
pH,Temperature,0.01412663510131902,0.0025351673313462196,5.572269304139984,5.776387723947934e-8
pH,Oxygen,0.0020287382804123283,9.568852576975282e-5,21.20147911248951,9.396897844846661e-61
pH,Temperature:Oxygen,-6.808365273997265e-5,2.1059348049913102e-5,-3.2329420919682073,0.001367610194270739
DIC,(Intercept),2163.037988810885,1.6878629944134829,1281.5246237225085,0
DIC,Density,46.73655197054252,3.8777748183600576,12.052415150374252,2.3273670044749695e-27
DIC,Oxygen,-0.7687505907389032,0.03979547955470657,-19.317535542751962,6.646843001102421e-54
DIC,Density:Oxygen,-0.040802588873130645,0.030671818884880547,-1.3302957032406053,0.1844732953106297
TA,(Intercept),2251.095513463294,0.5165601063216391,4357.857848321018,0
TA,Temperature,-0.7924075663548508,0.20218641264467363,-3.9191929664801135,1.0973493220012067e-4
TA,Salinity,56.13034611217324,2.365350239082085,23.730247294775083,2.982759003746268e-71
TA,Temperature:Salinity,-5.855363838425765,0.791757016640331,-7.395405048978129,1.3713709965309313e-12
